verse_text,matching_words,match,version,verse_id,doc_id,tokens,tfidf,proportion,runs_pval,corpus
"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.",love said god said god god thou shalt love lord thy god thy soul thy thy god god god god thou god love god said said said thou said said said said mind,,,Luke 10:27 (KJV),sn83045366/1901-06-03/ed-1/seq-7/,60,2.204,0.263,0,chronam
"Unto the woman he said, I will greatly multiply thy pain and thy conception; in pain thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.",woman husband shall unto children bring husband woman thy desire shall thy husband shall rule thee rule rule said rule rule said said,,,Genesis 3:16 (ASV),sn99021999/1913-11-29/ed-1/seq-14/,60,2.506,0.25,0,chronam
"So let your light shine before men, that they may see your good works, and glorify your Father who is in heaven.",good men men good good heaven good good men men men men men men may let let heaven men see men good father may let father men let men see let light shine men may glorify father heaven good men father heaven men men good heaven let men men see men works men see men men men let see may see see,,,Matthew 5:16 (Douay-Rheims),sn93062856/1910-02-05/ed-1/seq-1/,50,3.279,0.321,0,chronam
"And there went out the king of Sodom, and the king of Gomorrah, and the king of Admah, and the king of Zeboiim, and the king of Bela—the same is Zoar; and they set the battle in array against them in the vale of Siddim;",king king king king went king king king king king king king king king king king king king king king king king king king king king king set array went,,,Genesis 14:8 (JPS 1917),sn82014764/1850-10-02/ed-1/seq-3/,43,1.812,0.211,0.04,chronam
"And the LORD God said unto the serpent, Because thou hast done this, cursed art thou above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:",life said said go said days said said life upon life god lord life go thy art go upon upon every said said done said upon said upon upon life life serpent every upon upon every go upon every upon lord every upon unto lord said thy thy thou shalt thy thy unto said cursed thy shalt thou eat days thy life shalt eat field thy shalt thou eat thou unto eat god upon god said every upon said every said eat life life life god god upon,,,Genesis 3:14 (RV),sn84026561/1858-04-28/ed-1/seq-1/,38,0.988,0.109,0,chronam
"even as the duty of every day required, offering according to the commandment of Moses, on the sabbaths, and on the new moons, and on the set feasts, three times in the year, even in the feast of unleavened bread, and in the feast of weeks, and in the feast of tabernacles.",duty every every every new every every every every every day set three times year feast unleavened bread feast weeks feast tabernacles offering three set even set day new every every new times every every every every duty every new every day new day new new year every every every every year every new year new new new new new new new year new,,,2 Chronicles 8:13 (ASV),sn84026820/1899-09-30/ed-1/seq-4/,37,1.4,0.147,0,chronam
"I said: 'I will take heed to my ways, that I sin not with my tongue; I will keep a curb upon my mouth, while the wicked is before me.'",said said upon upon upon take heed ways sin tongue keep mouth mouth said upon said said keep,,,Psalm 39:2 (JPS 1917),sn85058396/1915-06-08/ed-1/seq-6/,36,2.801,0.273,0,chronam
"As they gather silver, and brass, and tin, and iron, and lead in the midst of the furnace: that I may kindle a fire in it to melt it: so will I gather you together in my fury and in my wrath, and will take my rest, and I will melt you down.",together fire fire take silver brass tin iron lead midst furnace fire melt iron take,,,Ezekiel 22:20 (Douay-Rheims),5FHT-1887-SEP29-001-007,36,1.794,0.176,0,ncnp
Prove all things; hold fast that which is good.,prove things hold fast good prove things,,,1 Thessalonians 5:21 (KJV),sn86088181/1878-06-29/ed-1/seq-1/,36,10.324,1,0,chronam
Not so the wicked; but they are like the chaff which the wind driveth away.,like chaff wind driveth away like like,,,Psalm 1:4 (JPS 1917),sn83045211/1916-05-02/ed-1/seq-10/,33,5.686,0.55,0,chronam
"But of this one thing be not ignorant, my beloved, that one day with the Lord is as a thousand years, and a thousand years as one day.",day one one day day day one years one one years years day one day one one lord years one one years one day one day thousand years thousand years one day one,,,2 Peter 3:8 (Douay-Rheims),sn85053327/1903-12-01/ed-1/seq-1/,33,2.84,0.275,0,chronam
"And the child grew, and waxed strong, filled with wisdom: and the grace of God was upon him.",waxed strong filled wisdom grace god upon upon upon upon upon upon upon upon upon child upon upon god god child child child god child child god god god god god god god god child child god child child god filled,,,Luke 2:40 (RV),sn84024546/1889-06-10/ed-1/seq-5/,33,4.799,0.458,0,chronam
"the tabernacle, its tent, and its covering, its clasps, and its boards, its bars, its pillars, and its sockets;",,,,Exodus 35:11 (JPS 1917),sn84026844/1897-04-30/ed-1/seq-4/,32,2.149,0.242,0.795,chronam
"The fifth, sardonyx; the sixth, sardius; the seventh, chrysolite; the eighth, beryl; the ninth, a topaz; the tenth, a chrysoprasus; the eleventh, a jacinth; the twelfth, an amethyst.",tenth fifth fifth sixth seventh eighth ninth tenth eleventh twelfth fifth sixth seventh eighth ninth fifth sixth seventh eighth ninth fifth sixth fifth eighth ninth fifth sixth seventh ninth fifth seventh eighth ninth sixth seventh ninth fifth sixth seventh eighth ninth fifth sixth seventh eighth seventh,,,Revelation 21:20 (KJV),sn83045396/1909-06-09/ed-1/seq-2/,31,2.186,0.215,0,chronam
"All things therefore whatsoever ye would that men should do unto you, even so do ye also unto them: for this is the law and the prophets.",things whatsoever ye men ye even men men men men therefore men,,,Matthew 7:12 (ASV),5GBQ-1839-DEC26-004-005,31,2.004,0.199,0,ncnp
"The wolf also shall dwell with the lamb, and the leopard shall lie down with the kid; and the calf and the young lion and the fatling together; and a little child shall lead them.",also little little little little child little little lead also little little little shall young also little child young child young little little little little little little little little little little little little little child little little little little little little young young little little little little little little young little young little wolf also little child shall lead little little lead wolf also shall dwell lamb little child shall lead little little little little little child little little also little little together little little little also little little also also,,,Isaiah 11:6 (KJV),sn84022871/1903-06-15/ed-1/seq-6/,31,1.634,0.161,0,chronam
"Consider the lilies how they grow: they toil not, they spin not; and yet I say unto you, that Solomon in all his glory was not arrayed like one of these.",one yet like toil spin yet say unto solomon glory like one one consider say one say one one one like one one,,,Luke 12:27 (KJV),sn85038292/1875-05-01/ed-1/seq-5/,30,2.039,0.192,0,chronam
"and ye shall know the truth, and the truth shall make you free.",make make make ye shall know truth shall make free ye shall shall make,,,John 8:32 (RV),sn91068076/1893-09-18/ed-1/seq-1/,29,6.128,0.604,0,chronam
And the second is like to this: Thou shalt love thy neighbor as thyself.,thou shalt love thy neighbor thyself thou shalt love thy thy thy thy like like,,,Matthew 22:39 (Douay-Rheims),sn85052114/1909-09-07/ed-1/seq-3/,29,5.225,0.604,0,chronam
"And Jehovah sent fiery serpents among the people, and they bit the people; and much people of Israel died.",people much sent serpents among people bit people much people israel died fiery fiery serpents israel israel people sent serpents sent israel sent people people people died,,,Numbers 21:6 (ASV),sn86061215/1907-06-27/ed-1/seq-5/,28,3.022,0.292,0,chronam
"And let patience have its perfect work, that ye may be perfect and entire, lacking in nothing.",work work may may let ye nothing let may may patience let patience perfect work ye may perfect entire nothing patience patience perfect entire nothing may nothing may may may may may let let ye may perfect may entire work may may may work work nothing nothing work,,,James 1:4 (RV),sn93067841/1903-08-27/ed-1/seq-7/,27,2.965,0.281,0,chronam
"And Isaiah said, Take a cake of figs. And they took and laid it on the boil, and he recovered.",boil took isaiah said take figs took laid boil recovered take take boil figs isaiah said figs take said said,,,2 Kings 20:7 (ASV),5FEP-1888-DEC24-002-004,27,4.679,0.45,0,ncnp
One man esteemeth one day above another: another esteemeth every day alike. Let each man be fully assured in his own mind.,one one man another one man esteemeth one day another another esteemeth alike one man one let every man man every man man one day mind another every one one another let day day every man another one every man let every assured every man man every mind man man one another one another man fully one let one one another every one man let one one let man one man one,,,Romans 14:5 (RV),5DXL-1829-MAR11-002-001,27,1.59,0.15,0,ncnp
"Or how wilt thou say to thy brother, Let me cast out the mote out of thine eye; and lo, the beam is in thine own eye?",lo lo lo thou mote thy eye beam thine eye thou say thy brother brother let mote thine eye thou beam thine eye thou cast beam thine eye cast mote thy let let brother,,,Matthew 7:4 (RV),sn84025841/1919-08-30/ed-1/seq-11/,25,1.386,0.149,0,chronam
"For, lo, the winter is past; The rain is over and gone;",lo winter past rain gone past,,,Song of Solomon 2:11 (ASV),5DYN-1895-APR19-004-016,24,10.322,1,0,ncnp
"Thus saith Jehovah, the God of Israel: I made a covenant with your fathers in the day that I brought them forth out of the land of Egypt, out of the house of bondage, saying,",made day god day israel day god god land day god god god god god god god god god god god god land god god god brought land egypt house bondage god god fathers day day,,,Jeremiah 34:13 (ASV),sn88084272/1916-07-22/ed-1/seq-8/,24,1.037,0.125,0,chronam
And God said unto Balaam: ‘Thou shalt not go with them; thou shalt not curse the people; for they are blessed.’,go thou shalt thou shalt go thou thou shalt go thou thou shalt shalt thou thou shalt thou shalt thou shalt thou shalt shalt thou thou shalt thou shalt shalt thou thou thou shalt thou shalt thou shalt thou thou shalt unto people people go said people,,,Numbers 22:12 (JPS 1917),sn87062268/1919-10-19/ed-1/seq-7/,24,1.039,0.182,0,chronam
"Then answered Peter, and said unto Jesus, Lord, it is good for us to be here: if thou wilt, let us make here three tabernacles; one for thee, and one for Moses, and one for Elias.",one three three three three good good good said said one three said said said said said said three one said said one one three said one one three three one one one one one one one one one three one one one one one one one one one one one three one one one one one one three one one one one one one one three one one one one one one one one three one one one one one one one thou three thou thou thou one thou one one one thou one one three one three three three one thou three thou thou thou one one one one three one one one one one one one one one one one one three one one one one three one one one one one one one one one three three three one three one three one three one let one unto said said good one good good let one let one said one said three one one said three one one one three said one one let one one one,,,Matthew 17:4 (KJV),5EWP-1899-JAN18-006-006,22,0.842,0.096,0,ncnp
"Nevertheless, they did find a land which had been peopled; yea, a land which was covered with dry bones; yea, a land which had been peopled and which had been destroyed; and they, having supposed it to be the land of Zarahemla, returned to the land of Nephi, having arrived in the borders of the land not many days before the coming of Ammon.",many supposed many find many returned coming coming days,,,Mosiah 21:26,5DXL-1835-MAR03-003-001,21,0.342,0.047,0,ncnp
"A GOOD name is rather to be chosen than great riches, and loving favour rather than silver and gold.",silver gold gold great great good good good good good name rather chosen riches good great rather good good good good great name,,,Proverbs 22:1 (RV),sn86088572/1911-11-09/ed-1/seq-8/,19,1.817,0.176,0,chronam
"Religion clean and undefiled before God and the Father, is this: to visit the fatherless and widows in their tribulation: and to keep one's self unspotted from this world.",world self god god religion undefiled god father visit widows keep unspotted world world self,,,James 1:27 (Douay-Rheims),sn87075163/1858-04-29/ed-1/seq-4/,19,1.529,0.144,0,chronam
"If there be among you a poor man of one of thy brethren within any of thy gates in thy land which the LORD thy God giveth thee, thou shalt not harden thine heart, nor shut thine hand from thy poor brother:",man one thy thy land lord thy god thee shut,,,Deuteronomy 15:7 (KJV),0FEO-1892-OCT17-003-006,19,0.387,0.057,0,ncnp
"That which groweth of itself of thy harvest thou shalt not reap, and the grapes of thy undressed vine thou shalt not gather: it shall be a year of solemn rest for the land.",thou shalt shalt thy thou thy thou shalt thy thou thy thou shalt shalt thou thou shalt thou shalt thou shalt thy thou shalt shalt thou thy thou shalt thou shalt thy thou thou thy thou shalt thou shalt thou shalt thou thou shalt rest land shall,,,Leviticus 25:5 (ASV),sn86069496/1909-03-17/ed-1/seq-2/,18,0.413,0.083,0,chronam
"If any man have ears to hear, let him hear.",let,,,Mark 7:16 (Douay-Rheims),5DUU-1899-NOV27-006-006,17,2.479,0.283,0,ncnp
"duke Kenaz, duke Teman, duke Mibzar;",duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke duke,,,Genesis 36:42 (RV),sn83030313/1879-03-12/ed-1/seq-11/,16,5.616,0.667,0.766,chronam
"Keep yourselves in the love of God, waiting for the mercy of our Lord Jesus Christ, unto life everlasting.",life lord jesus christ god lord jesus christ life jesus christ christ lord jesus christ everlasting jesus christ life life christ lord jesus christ christ lord jesus christ god everlasting god god lord life christ christ lord everlasting life life keep unto,,,Jude 1:21 (Douay-Rheims),sn83025121/1868-12-09/ed-1/seq-4/,16,0.953,0.148,0,chronam
"Yea, had it not been for the war which broke out among ourselves; yea, were it not for these king-men, who caused so much bloodshed among ourselves; yea, at the time we were contending among ourselves, if we had united our strength as we hitherto have done; yea, had it not been for the desire of power and authority which those king-men had over us; had they been true to the cause of our freedom, and united with us, and gone forth against our enemies, instead of taking up their swords against us, which was the cause of so much bloodshed among ourselves; yea, if we had gone forth against them in the strength of the Lord, we should have dispersed our enemies, for it would have been done, according to the fulfilling of his word.",lord time time lord much broke time broke instead much much lord true word lord enemies gone much time done time cause men gone much much much broke much much lord time cause done time done lord time lord us lord lord done lord much power men done time broke men time lord word done taking broke lord done gone time time instead time men broke time men men men us time,,,Alma 60:16,sn85066387/1902-09-21/ed-1/seq-3/,16,0.108,0.014,0,chronam
"And thus shall ye eat it: with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is Jehovah's passover.",thus hand shall eat eat feet eat feet feet thus shoes hand hand shoes shoes feet eat shall,,,Exodus 12:11 (ASV),sn84022871/1876-09-11/ed-1/seq-4/,16,0.637,0.078,0.412,chronam
"And the sons of them that afflicted thee Shall come bending unto thee, And all they that despised thee shall bow down At the soles of thy feet; And they shall call thee The city of the LORD, The Zion of the Holy One of Israel.",one come shall shall one thy lord unto sons zion call city lord zion holy one israel thee shall thy shall thy shall thee lord shall thy shall call lord shall shall afflicted shall holy one one shall call one thy thy thy one come shall shall one thee thee sons thee shall shall one shall one one come one shall sons shall shall shall shall one unto one lord one holy shall thy one one one come one one call one unto lord holy come one one one city one one one feet one one lord shall one one one shall shall shall shall shall shall shall shall shall one shall one shall shall one city,,,Isaiah 60:14 (JPS 1917),5DUR-1835-APR04-002-001,15,0.553,0.054,0.001,ncnp
"And now behold, if it were possible that our first parents could have gone forth and partaken of the tree of life they would have been forever miserable, having no preparatory state; and thus the plan of redemption would have been frustrated, and the word of God would have been void, taking none effect.",first now state now effect effect state now thus now possible gone effect effect thus state now none first thus life thus now now now now now first effect now thus now state possible none first first first gone now now now none possible,,,Alma 12:26,5AHS-1888-AUG22-001-028,15,0.294,0.035,0.027,ncnp
"And Eve, his wife, heard all these things and was glad, saying: Were it not for our transgression we never should have had seed, and never should have known good and evil, and the joy of our redemption, and the eternal life which God giveth unto all the obedient.",never,,,Moses 5:11,5DXC-1850-NOV20-002-003,14,0.43,0.039,0.002,ncnp
"And these are the children of Benjamin: Sellum the son of Mosollam, the son of Joed, the son of Phadaia, the son of Colaia, the son of Masia, the son of Etheel, the son of Isaia.",son son son son son children son,,,Nehemiah 11:7 (Douay-Rheims),sn88053055/1901-08-13/ed-1/seq-3/,14,0.56,0.09,0.905,chronam
"but in the place which the LORD shall choose in one of thy tribes, there thou shalt offer thy burnt-offerings, and there thou shalt do all that I command thee.",one one one one place one one one one thou lord thou shalt lord lord thee thou shalt lord thou place lord place thou shalt thou thou shalt thou shalt thou thou shalt thou thy shalt thou lord place lord shall choose lord shall thee thy thou shalt one place one command one one one thee,,,Deuteronomy 12:14 (JPS 1917),sn85042379/1921-11-18/ed-1/seq-1/,14,0.643,0.078,0,chronam
"even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt-offerings and their sacrifices shall be accepted upon mine altar; for my house shall be called a house of prayer for all peoples.",even house house make house house house house house upon house house even house house house house house house prayer shall shall holy upon shall prayer holy holy holy house house house house house prayer house house house house house house house house house house house house house prayer prayer house house house house joyful make bring holy house make prayer make house make house shall shall house house holy house prayer holy house holy make bring house house holy prayer house shall called house prayer house prayer mountain house prayer house prayer house prayer upon make house make house holy holy house prayer shall house house upon accepted accepted called upon even upon shall prayer make make even shall make shall house shall upon house bring house bring bring make house upon upon upon make bring make shall upon make house shall,,,Isaiah 56:7 (ASV),sn85047084/1892-12-05/ed-1/seq-4/,14,0.52,0.056,0,chronam
"For he will give unto the faithful line upon line, precept upon precept; and I will try you and prove you herewith.",upon give upon line upon line precept upon give upon upon upon give line line try line prove line line try line prove try upon give give,,,Doctrine and Covenants 98:12,sn83025287/1880-06-23/ed-1/seq-4/,14,1.501,0.146,0,chronam
"Hope deferred maketh the heart sick: but when the desire cometh, it is a tree of life.",hope deferred maketh heart sick hope deferred sick hope,,,Proverbs 13:12 (KJV),5DUU-1891-MAR05-004-003,13,1.877,0.181,0,ncnp
"I was born in the year of our Lord one thousand eight hundred and five, on the twenty-third day of December, in the town of Sharon, Windsor county, State of Vermont . . . My father, Joseph Smith, Sen., left the State of Vermont, and moved to Palmyra, Ontario (now Wayne) county, in the State of New York, when I was in my tenth year, or thereabouts. In about four years after my father's arrival in Palmyra, he moved with his family into Manchester in the same county of Ontario--",day day year lord years years now day twenty day year lord one thousand one hundred twenty state state now four year now year year left new york december year years five county new new new new state state state new york now year new new now county state new left arrival state born left state state new york hundred family now now year years now state now one day state moved new year new state left new york four new one year county four new day state new new york state third eight hundred new left five five one day new york,,,Joseph Smith--History 1:3,sn86090233/1903-11-05/ed-1/seq-4/,13,0.273,0.025,0,chronam
"who ought to have been here before thee, and to make accusation, if they had aught against me.",,,,Acts 24:19 (RV),5AHR-1883-NOV03-004-020,13,1.124,0.108,0,ncnp
"And he shall turn the heart of the fathers to the children, and the heart of the children to their fathers, lest I come and smite the earth with a curse.",children children children children turn fathers children heart children fathers children children earth shall shall earth come earth,,,Malachi 4:6 (KJV),sn86058217/1850-06-12/ed-1/seq-3/,13,1.186,0.12,0,chronam
"He shall lend to thee, and thou shalt not lend to him: he shall be the head, and thou shalt be the tail.",thou shalt thou shalt thou shalt thou shalt thou shall thee thou shalt thou thou thou shalt thee thou shalt thou shalt thou shall thou thou shalt thou shalt thou shalt thou shall,,,Deuteronomy 28:44 (RV),sn90061783/1907-04-18/ed-1/seq-8/,13,0.798,0.12,0,chronam
"Then I was by him, as a master workman: and I was daily his delight, rejoicing always before him;",daily delight rejoicing always rejoicing delight,,,Proverbs 8:30 (RV),sn93060090/1909-07-22/ed-1/seq-3/,13,1.908,0.181,0,chronam
"one God and Father of all, who is over all, and through all, and in all.",one one one one,,,Ephesians 4:6 (RV),sn83045232/1868-06-23/ed-1/seq-4/,13,1.458,0.181,0,chronam
"and the one went out from me, and I said, Surely he is torn in pieces; and I have not seen him since:",one seen since said one since one said surely said one went went since said said said said since one seen one one seen since one one said seen one said one since since one one one said since one since one one one surely one one one seen one torn,,,Genesis 44:28 (ASV),sn83040198/1889-04-18/ed-1/seq-6/,13,1.198,0.12,0.319,chronam
"And those cities which had been taken by the Lamanites, all of them are at this period of time in our possession; and our fathers and our women and our children are returning to their homes, all save it be those who have been taken prisoners and carried off by the Lamanites.",carried time cities taken taken time period taken taken time children women time women women children time,,,Alma 58:31,sn83026413/1879-01-28/ed-1/seq-5/,13,0.387,0.039,0.001,chronam
"For we did not follow cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but we were eyewitnesses of his majesty.",power lord jesus christ jesus unto jesus christ christ jesus jesus lord known jesus made jesus power jesus power coming made,,,2 Peter 1:16 (ASV),sn84038095/1916-04-19/ed-1/seq-11/,13,0.521,0.06,0.001,chronam
"Therefore thus saith the Lord GOD: As the vine tree among the trees of the forest, which I have given to the fire for fuel, so will I give the inhabitants of Jerusalem.",give among among god therefore thus saith lord god given given given god give god lord,,,Ezekiel 15:6 (RV),10021978/1918-08-28/ed-1/seq-19/,13,0.431,0.072,0,chronam
A good man out of the good treasure of his heart bringeth forth that which is good: and an evil man out of the evil treasure bringeth forth that which is evil. For out of the abundance of the heart the mouth speaketh.,good good heart mouth good good good mouth man good good good forth man good forth good good good good forth man man man man good man abundance heart mouth speaketh good man man man,,,Luke 6:45 (Douay-Rheims),sn84027670/1879-04-17/ed-1/seq-4/,13,0.535,0.054,0.001,chronam
"Now I beseech you, brethren, through the name of our Lord Jesus Christ, that ye all speak the same thing and that there be no divisions among you; but that ye be perfected together in the same mind and in the same judgment.",thing ye ye thing name name name lord jesus christ thing now thing,,,1 Corinthians 1:10 (ASV),sn83030214/1900-03-11/ed-1/seq-46/,13,0.42,0.054,0,chronam
"And if that people did not accept the offering of peace, neither the second nor the third time, they should bring these testimonies before the Lord;",second third time time third time third second time second second second second peace time second time third time third time time time third second second third second third second third second third second third second third lord second third second third time time third third people second time second time second time third time time second third second second third time third second third time second third time second third time second third time second third time second second third time second third time second third time second third time second third time second third time second second third time third second third time second third time second third time second third time second third time time,,,Doctrine and Covenants 98:35,sn85042462/1908-08-15/ed-1/seq-7/,13,0.885,0.083,0,chronam
"I beseech you therefore, brethren, through our Lord Jesus Christ, and by the charity of the Holy Ghost, that you help me in your prayers for me to God,",therefore therefore therefore therefore god lord jesus christ,,,Romans 15:30 (Douay-Rheims),sn85025007/1872-02-12/ed-1/seq-2/,13,0.669,0.083,0,chronam
Clouds and darkness are round about him: righteousness and judgment are the foundation of his throne.,clouds darkness round clouds judgment throne judgment,,,Psalm 97:2 (RV),sn2001063112/1903-06-19/ed-1/seq-10/,13,2.136,0.217,0,chronam
"And these are the golden emerods, which the Philistines returned for sin to the Lord: For Azotus one, for Gaza one, for Ascalon one, for Geth one, for Accaron one:",returned one one one one one one one one one one one one one one one one one one one one one one one one one,,,1 Samuel 6:17 (Douay-Rheims),sn83030313/1861-02-11/ed-1/seq-2/,13,0.746,0.083,0.984,chronam
"All thy garments smell of myrrh, and aloes, and cassia, out of the ivory palaces, whereby they have made thee glad.",myrrh made myrrh myrrh myrrh myrrh myrrh myrrh thy garments smell myrrh myrrh myrrh made myrrh made made made made,,,Psalm 45:8 (KJV),sn84026913/1891-01-08/ed-1/seq-2/,13,1.063,0.098,0.001,chronam
"looking for and earnestly desiring the coming of the day of God, by reason of which the heavens being on fire shall be dissolved, and the elements shall melt with fervent heat?",shall shall elements shall melt fervent heat heavens shall shall,,,2 Peter 3:12 (ASV),5DXC-1823-MAR24-002-003,13,0.774,0.077,0,ncnp
"Now the LORD was angered with me for your sakes, and swore that I should not go over the Jordan, and that I should not go in unto that good land, which the LORD thy God giveth thee for an inheritance;",good now thy thy thy land lord thy giveth thee good go,,,Deuteronomy 4:21 (JPS 1917),sn84036008/1908-05-12/ed-1/seq-2/,13,0.378,0.052,0,chronam
"And the children of Israel took captive the women of Midian and their little ones; and all their cattle, and all their flocks, and all their goods, they took for a prey.",goods little little little children,,,Numbers 31:9 (ASV),sn87076843/1905-01-13/ed-1/seq-5/,12,0.673,0.083,0,chronam
"Labour not for the meat which perisheth, but for that which endureth unto life everlasting, which the Son of man will give you. For him hath God, the Father, sealed.",son life god god life son god god man father give father life man god man god god man god life unto life labour meat meat endureth unto everlasting life man hath god father sealed sealed god god god hath god father god god god give life unto life life life father father god everlasting life give life,,,John 6:27 (Douay-Rheims),sn85030529/1900-07-06/ed-1/seq-2/,12,0.719,0.067,0.038,chronam
"And Aaron said unto Moses, Oh my lord, lay not, I pray thee, sin upon us, for that we have done foolishly, and for that we have sinned.",sin sin upon done sin us sin us us sin sin sin sin sin unto sin sin sinned sinned us us sin sin sin sin sin upon us sin sin us us us sin done done sin sinned sin done done us sin sinned sin done done sin sin sin sin done sin upon done sin sin us us pray,,,Numbers 12:11 (RV),10021978/1917-01-31/ed-1/seq-15/,12,0.584,0.067,0,chronam
"And the Gileadites took the passages of Jordan before the Ephraimites: and it was so, that when those Ephraimites which were escaped said, Let me go over; that the men of Gilead said unto him, Art thou an Ephraimite? If he said, Nay;",thou unto thou thou unto unto thou thou men men thou said said thou said unto thou thou said unto said took took said unto thou thou unto said said unto go thou men men said unto go thou thou go art men thou said unto men men,,,Judges 12:5 (KJV),sn90066132/1922-12-02/ed-1/seq-6/,12,0.222,0.04,0,chronam
"Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ.",christ unto lord christ god god christ jesus jesus god jesus christ jesus lord christ unto god paul lord jesus christ christ christ christ paul god christ jesus lord lord god christ jesus jesus christ jesus christ jesus god christ jesus jesus paul unto god lord jesus christ peace peace peace peace,,,1 Thessalonians 1:1 (KJV),sn96077142/1904-10-01/ed-1/seq-3/,12,0.393,0.059,0,chronam
