reference,verse,url,match,likely,most_unusual_phrase,token_count,proportion,tfidf,tf,position_range,position_sd,page,runs_pval
2 Kings 1:18 (KJV),"Now the rest of the acts of Ahaziah which he did, are they not written in the book of the chronicles of the kings of Israel?",http://chroniclingamerica.loc.gov/lccn/sn96088356/1914-06-12/ed-1/seq-4/#words=now+rest+acts+ahaziah+did+written+book+chronicles+kings+israel,,possibly,which did not,1,0.0714285714285714,0.639909503118671,0.0714285714285714,NA,NA,sn96088356/1914-06-12/ed-1/seq-4/,0.988818425253885
Mark 14:5 (KJV),"For it might have been sold for more than three hundred pence, and have been given to the poor. And they murmured against her.",http://chroniclingamerica.loc.gov/lccn/sn88077244/1867-04-16/ed-1/seq-1/#words=might+been+sold+more+than+three+hundred+pence+been+given+poor+murmured+against,,no,might have been,1,0.0303030303030303,0.259189937441007,0.0303030303030303,NA,NA,sn88077244/1867-04-16/ed-1/seq-1/,0.990940925429443
Acts 27:37 (KJV),And we were in all in the ship two hundred threescore and sixteen souls.,http://chroniclingamerica.loc.gov/lccn/sn83016926/1881-06-23/ed-1/seq-3/#words=we+were+all+ship+two+hundred+threescore+sixteen+souls,,possibly,we were all,1,0.111111111111111,1.02737945734591,0.111111111111111,NA,NA,sn83016926/1881-06-23/ed-1/seq-3/,0.992720689865281
Genesis 24:27 (KJV),"And he said, Blessed be the LORD God of my master Abraham, who hath not left destitute my master of his mercy and his truth: I being in the way, the LORD led me to the house of my master's brethren.",http://chroniclingamerica.loc.gov/lccn/sn97067613/1901-09-18/ed-1/seq-5/#words=said+blessed+lord+god+my+master+abraham+hath+left+destitute+my+master+mercy+truth+i+being+way+lord+led+me+house+my+master's+brethren,,possibly,lord led me,6,0.109090909090909,1.05293238809687,0.109090909090909,6,2.16024689946929,sn97067613/1901-09-18/ed-1/seq-5/,0
Joshua 7:7 (KJV),"And Joshua said, Alas, O Lord GOD, wherefore hast thou at all brought this people over Jordan, to deliver us into the hand of the Amorites, to destroy us? would to God we had been content, and dwelt on the other side Jordan!",http://chroniclingamerica.loc.gov/lccn/sn85025584/1858-05-13/ed-1/seq-2/#words=joshua+said+alas+o+lord+god+wherefore+hast+thou+all+brought+people+over+jordan+deliver+us+hand+amorites+destroy+us+would+god+we+had+been+content+dwelt+other+side+jordan,,no,we had been,1,0.00641025641025641,0.109657281225041,0.0128205128205128,NA,NA,sn85025584/1858-05-13/ed-1/seq-2/,0.988815129824524
Acts 28:2 (KJV),"And the barbarous people shewed us no little kindness: for they kindled a fire, and received us every one, because of the present rain, and because of the cold.",http://chroniclingamerica.loc.gov/lccn/sn84024716/1908-03-25/ed-1/seq-4/#words=barbarous+people+shewed+us+little+kindness+kindled+fire+received+us+every+one+because+present+rain+because+cold,,no,us every one,1,0.0222222222222222,0.214486227204919,0.0222222222222222,NA,NA,sn84024716/1908-03-25/ed-1/seq-4/,0.990375283340816
Job 21:5 (KJV),"Mark me, and be astonished, and lay your hand upon your mouth.",http://chroniclingamerica.loc.gov/lccn/sn83016475/1840-05-30/ed-1/seq-2/#words=mark+me+astonished+lay+your+hand+upon+your+mouth,,yes,hand upon your,6,0.333333333333333,3.21729340807378,0.333333333333333,6,2.16024689946929,sn83016475/1840-05-30/ed-1/seq-2/,0
Joshua 10:6 (KJV),"And the men of Gibeon sent unto Joshua to the camp to Gilgal, saying, Slack not thy hand from thy servants; come up to us quickly, and save us, and help us: for all the kings of the Amorites that dwell in the mountains are gathered together against us.",http://chroniclingamerica.loc.gov/lccn/sn83025661/1840-04-22/ed-1/seq-1/#words=men+gibeon+sent+unto+joshua+camp+gilgal+saying+slack+thy+hand+thy+servants+come+up+us+quickly+save+us+help+us+all+kings+amorites+dwell+mountains+gathered+together+against+us,,no,not thy hand,1,0.0119047619047619,0.114903336002635,0.0119047619047619,NA,NA,sn83025661/1840-04-22/ed-1/seq-1/,0.989816498305929
Matthew 22:14 (KJV),"For many are called, but few are chosen.",http://chroniclingamerica.loc.gov/lccn/sn82007642/1917-07-26/ed-1/seq-4/#words=many+called+few+chosen,,yes,many called few chosen,3,1,9.24641511611317,1,3,1.52752523165195,sn82007642/1917-07-26/ed-1/seq-4/,6.76446309471683e-212
Matthew 7:7 (KJV),"Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:",http://chroniclingamerica.loc.gov/lccn/sn89066651/1919-12-11/ed-1/seq-29/#words=ask+shall+given+you+seek+ye+shall+find+knock+shall+opened+unto+you,,yes,ask shall given,12,0.521739130434782,4.82421658231992,0.521739130434782,33,10.4151024466569,sn89066651/1919-12-11/ed-1/seq-29/,0
Mark 8:14 (KJV),"Now the disciples had forgotten to take bread, neither had they in the ship with them more than one loaf.",http://chroniclingamerica.loc.gov/lccn/sn85034248/1904-08-13/ed-1/seq-2/#words=now+disciples+had+forgotten+take+bread+neither+had+ship+more+than+one+loaf,,no,more than one,1,0.00432900432900433,0.292481218915798,0.0303030303030303,NA,NA,sn85034248/1904-08-13/ed-1/seq-2/,0.990376333545412
1 Samuel 14:43 (KJV),"Then Saul said to Jonathan, Tell me what thou hast done. And Jonathan told him, and said, I did but taste a little honey with the end of the rod that was in mine hand, and, lo, I must die.",http://chroniclingamerica.loc.gov/lccn/sn93067846/1897-01-13/ed-1/seq-4/#words=saul+said+jonathan+tell+me+what+thou+hast+done+jonathan+told+said+i+did+taste+little+honey+end+rod+mine+hand+lo+i+must+die,,no,told him said,1,0.0163934426229508,0.140217507140217,0.0163934426229508,NA,NA,sn93067846/1897-01-13/ed-1/seq-4/,0.989309464278656
Jeremiah 20:10 (KJV),"For I heard the defaming of many, fear on every side. Report, say they, and we will report it. All my familiars watched for my halting, saying, Peradventure he will be enticed, and we shall prevail against him, and we shall take our revenge on him.",http://chroniclingamerica.loc.gov/lccn/sn89058133/1919-01-23/ed-1/seq-2/#words=i+heard+defaming+many+fear+every+side+report+say+we+report+all+my+familiars+watched+my+halting+saying+peradventure+enticed+we+shall+prevail+against+we+shall+take+our+revenge,,no,we shall take,1,0.0140845070422535,0.135941974989033,0.0140845070422535,NA,NA,sn89058133/1919-01-23/ed-1/seq-2/,0.987691792421961
Matthew 13:9 (KJV),"Who hath ears to hear, let him hear.",http://chroniclingamerica.loc.gov/lccn/sn85033386/1873-03-21/ed-1/seq-1/#words=hath+ears+hear+let+hear,,yes,who hath ears,1,0.333333333333333,3.08213837203772,0.333333333333333,NA,NA,sn85033386/1873-03-21/ed-1/seq-1/,0.992926136482037
1 Chronicles 17:20 (KJV),"O LORD, there is none like thee, neither is there any God beside thee, according to all that we have heard with our ears.",http://chroniclingamerica.loc.gov/lccn/sn84020558/1921-01-09/ed-1/seq-27/#words=o+lord+none+like+thee+neither+any+god+beside+thee+according+all+we+heard+our+ears,,no,all we have,1,0.024390243902439,0.225522319905199,0.024390243902439,NA,NA,sn84020558/1921-01-09/ed-1/seq-27/,0.987907832313042
Acts 19:25 (KJV),"Whom he called together with the workmen of like occupation, and said, Sirs, ye know that by this craft we have our wealth.",http://chroniclingamerica.loc.gov/lccn/sn91068245/1898-02-03/ed-1/seq-3/#words=whom+called+together+workmen+like+occupation+said+sirs+ye+know+craft+we+our+wealth,,no,we have our,1,0.0277777777777778,0.268107784006148,0.0277777777777778,NA,NA,sn91068245/1898-02-03/ed-1/seq-3/,0.991234330972505
Leviticus 24:18 (KJV),And he that killeth a beast shall make it good; beast for beast.,http://chroniclingamerica.loc.gov/lccn/sn84026259/1879-05-22/ed-1/seq-3/#words=killeth+beast+shall+make+good+beast+beast,,possibly,shall make good,1,0.0833333333333333,0.770534593009431,0.0833333333333333,NA,NA,sn84026259/1879-05-22/ed-1/seq-3/,0.990407680698216
Matthew 14:17 (KJV),"And they say unto him, We have here but five loaves, and two fishes.",http://chroniclingamerica.loc.gov/lccn/sn88085445/1917-08-23/ed-1/seq-1/#words=say+unto+we+here+five+loaves+two+fishes,,possibly,we have here,1,0.111111111111111,1.07243113602459,0.111111111111111,NA,NA,sn88085445/1917-08-23/ed-1/seq-1/,0.987667557619986
Acts 23:13 (KJV),And they were more than forty which had made this conspiracy.,http://chroniclingamerica.loc.gov/lccn/sn83025313/1913-05-02/ed-1/seq-2/#words=were+more+than+forty+had+made+conspiracy,,possibly,were more than,1,0.0909090909090909,0.81443027669649,0.0909090909090909,NA,NA,sn83025313/1913-05-02/ed-1/seq-2/,0.986882563196614
2 Corinthians 4:1 (KJV),"Therefore seeing we have this ministry, as we have received mercy, we faint not;",http://chroniclingamerica.loc.gov/lccn/sn84024718/1873-04-15/ed-1/seq-3/#words=therefore+seeing+we+ministry+we+received+mercy+we+faint,,no,we have received,2,0.00925925925925926,0.633575402633572,0.0740740740740741,7332,5184.50691965977,sn84024718/1873-04-15/ed-1/seq-3/,0.986559809573831
Exodus 10:27 (KJV),"But the LORD hardened Pharaoh's heart, and he would not let them go.",http://chroniclingamerica.loc.gov/lccn/sn86088296/1891-08-20/ed-1/seq-6/#words=lord+hardened+pharaoh's+heart+would+let+go,,possibly,not let them,1,0.0588235294117647,0.503133407973719,0.0588235294117647,NA,NA,sn86088296/1891-08-20/ed-1/seq-6/,0.989739746114316
Deuteronomy 24:2 (KJV),"And when she is departed out of his house, she may go and be another man's wife.",http://chroniclingamerica.loc.gov/lccn/sn85033306/1866-10-13/ed-1/seq-1/#words=when+departed+out+house+may+go+another+man's+wife,,possibly,another man's wife,1,0.0555555555555556,0.513689728672954,0.0555555555555556,NA,NA,sn85033306/1866-10-13/ed-1/seq-1/,0.991005908657739
Matthew 3:17 (KJV),"And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased.",http://chroniclingamerica.loc.gov/lccn/sn86086632/1898-04-16/ed-1/seq-7/#words=lo+voice+heaven+saying+my+beloved+son+whom+i+am+well+pleased,,yes,son whom am,9,0.45,3.92189919371653,0.45,9,2.93446947694317,sn86086632/1898-04-16/ed-1/seq-7/,0
Luke 8:2 (KJV),"And certain women, which had been healed of evil spirits and infirmities, Mary called Magdalene, out of whom went seven devils,",http://chroniclingamerica.loc.gov/lccn/sn84020104/1853-12-14/ed-1/seq-1/#words=certain+women+had+been+healed+evil+spirits+infirmities+mary+called+magdalene+out+whom+went+seven+devils,,no,which had been,1,0.0128205128205128,0.219314562450083,0.0256410256410256,NA,NA,sn84020104/1853-12-14/ed-1/seq-1/,0.99196789904299
Ruth 3:14 (KJV),"And she lay at his feet until the morning: and she rose up before one could know another. And he said, Let it not be known that a woman came into the floor.",http://chroniclingamerica.loc.gov/lccn/sn94052989/1893-05-16/ed-1/seq-2/#words=lay+feet+until+morning+rose+up+before+one+could+know+another+said+let+known+woman+came+floor,,no,up before one,1,0.0227272727272727,0.219360914186849,0.0227272727272727,NA,NA,sn94052989/1893-05-16/ed-1/seq-2/,0.991853795768715
Mark 11:4 (KJV),"And they went their way, and found the colt tied by the door without in a place where two ways met; and they loose him.",http://chroniclingamerica.loc.gov/lccn/sn97067613/1889-04-04/ed-1/seq-4/#words=went+way+found+colt+tied+door+without+place+where+two+ways+met+loose,,yes,door without place where ways,21,0.7,6.75631615695494,0.7,21,6.28868977193334,sn97067613/1889-04-04/ed-1/seq-4/,0
Romans 15:22 (KJV),For which cause also I have been much hindered from coming to you.,http://chroniclingamerica.loc.gov/lccn/sn85038102/1898-06-03/ed-1/seq-3/#words=cause+also+i+been+much+hindered+coming+you,,possibly,also have been,1,0.0666666666666667,0.643458681614756,0.0666666666666667,NA,NA,sn85038102/1898-06-03/ed-1/seq-3/,0.988334115051055
John 11:37 (KJV),"And some of them said, Could not this man, which opened the eyes of the blind, have caused that even this man should not have died?",http://chroniclingamerica.loc.gov/lccn/sn86063662/1884-07-10/ed-1/seq-3/#words=some+said+could+man+opened+eyes+blind+caused+even+man+should+died,,no,said could not,1,0.0222222222222222,0.214486227204919,0.0222222222222222,NA,NA,sn86063662/1884-07-10/ed-1/seq-3/,0.992156401607674
Ecclesiastes 1:2 (KJV),"Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.",http://chroniclingamerica.loc.gov/lccn/sn97067613/1889-12-19/ed-1/seq-2/#words=vanity+vanities+saith+preacher+vanity+vanities+all+vanity,,yes,vanities all vanity,3,0.2,1.93037604484427,0.2,3,1.52752523165195,sn97067613/1889-12-19/ed-1/seq-2/,0
Jeremiah 51:9 (KJV),"We would have healed Babylon, but she is not healed: forsake her, and let us go every one into his own country: for her judgment reacheth unto heaven, and is lifted up even to the skies.",http://chroniclingamerica.loc.gov/lccn/sn87076843/1915-11-11/ed-1/seq-3/#words=we+would+healed+babylon+healed+forsake+let+us+go+every+one+own+country+judgment+reacheth+unto+heaven+lifted+up+even+skies,,no,we would have,1,0.00862068965517241,0.159420950277813,0.0172413793103448,NA,NA,sn87076843/1915-11-11/ed-1/seq-3/,0.985928932079993
1 Corinthians 11:31 (KJV),"For if we would judge ourselves, we should not be judged.",http://chroniclingamerica.loc.gov/lccn/sn82015486/1865-06-15/ed-1/seq-2/#words=we+would+judge+ourselves+we+should+judged,,possibly,we should not,1,0.0555555555555556,0.475181551975179,0.0555555555555556,NA,NA,sn82015486/1865-06-15/ed-1/seq-2/,0.990223671685928
Isaiah 45:22 (KJV),"Look unto me, and be ye saved, all the ends of the earth: for I am God, and there is none else.",http://chroniclingamerica.loc.gov/lccn/sn83016925/1887-06-15/ed-1/seq-4/#words=look+unto+me+ye+saved+all+ends+earth+i+am+god+none+else,,possibly,am god none else,4,0.16,1.46791913568004,0.16,33,15.7162336455017,sn83016925/1887-06-15/ed-1/seq-4/,0
Romans 13:9 (KJV),"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.",http://chroniclingamerica.loc.gov/lccn/sn88064181/1914-11-13/ed-1/seq-4/#words=thou+shalt+commit+adultery+thou+shalt+kill+thou+shalt+steal+thou+shalt+bear+false+witness+thou+shalt+covet+any+other+commandment+briefly+comprehended+saying+namely+thou+shalt+love+thy+neighbour+thyself,,yes,kill thou shalt not,23,0.267441860465116,2.4806212080235,0.267441860465116,42,9.59002924753939,sn88064181/1914-11-13/ed-1/seq-4/,0
John 1:24 (KJV),And they which were sent were of the Pharisees.,http://chroniclingamerica.loc.gov/lccn/sn82005159/1858-01-08/ed-1/seq-3/#words=were+sent+were+pharisees,,possibly,which were sent,1,0.166666666666667,1.45593158205786,0.166666666666667,NA,NA,sn82005159/1858-01-08/ed-1/seq-3/,0.990319125684479
Matthew 28:18 (KJV),"And Jesus came and spake unto them, saying, All power is given unto me in heaven and in earth.",http://chroniclingamerica.loc.gov/lccn/sn2006060001/1888-06-14/ed-1/seq-3/#words=jesus+came+spake+unto+saying+all+power+given+unto+me+heaven+earth,,yes,all power given unto,13,0.5,4.76403865394013,0.5,684,280.221460039496,sn2006060001/1888-06-14/ed-1/seq-3/,0
Luke 14:12 (KJV),"Then said he also to him that bade him, When thou makest a dinner or a supper, call not thy friends, nor thy brethren, neither thy kinsmen, nor thy rich neighbours; lest they also bid thee again, and a recompence be made thee.",http://chroniclingamerica.loc.gov/lccn/sn85033781/1876-03-24/ed-1/seq-3/#words=said+also+bade+when+thou+makest+dinner+supper+call+thy+friends+nor+thy+brethren+neither+thy+kinsmen+nor+thy+rich+neighbours+lest+also+bid+thee+again+recompence+made+thee,,yes,when thou makest,41,0.444444444444445,4.38345215409723,0.455555555555556,93,21.7701686695909,sn85033781/1876-03-24/ed-1/seq-3/,0
Genesis 26:10 (KJV),"And Abimelech said, What is this thou hast done unto us? one of the people might lightly have lien with thy wife, and thou shouldest have brought guiltiness upon us.",http://chroniclingamerica.loc.gov/lccn/sn82016419/1880-08-06/ed-1/seq-2/#words=abimelech+said+what+thou+hast+done+unto+us+one+people+might+lightly+lien+thy+wife+thou+shouldest+brought+guiltiness+upon+us,,no,us one people,1,0.0188679245283019,0.174460662568173,0.0188679245283019,NA,NA,sn82016419/1880-08-06/ed-1/seq-2/,0.994647219486651
Mark 11:7 (KJV),"And they brought the colt to Jesus, and cast their garments on him; and he sat upon him.",http://chroniclingamerica.loc.gov/lccn/sn87065519/1846-01-24/ed-1/seq-2/#words=brought+colt+jesus+cast+garments+sat+upon,,possibly,him sat upon,1,0.0555555555555556,0.497707391314522,0.0555555555555556,NA,NA,sn87065519/1846-01-24/ed-1/seq-2/,0.988665467180643
Luke 20:7 (KJV),"And they answered, that they could not tell whence it was.",http://chroniclingamerica.loc.gov/lccn/sn85038158/1858-06-03/ed-1/seq-1/#words=answered+could+tell+whence,,possibly,could not tell,1,0.166666666666667,1.60864670403689,0.166666666666667,NA,NA,sn85038158/1858-06-03/ed-1/seq-1/,0.990414951061136
Matthew 10:39 (KJV),He that findeth his life shall lose it: and he that loseth his life for my sake shall find it.,http://chroniclingamerica.loc.gov/lccn/sn84026925/1879-03-20/ed-1/seq-4/#words=findeth+life+shall+lose+loseth+life+my+sake+shall+find,,yes,shall lose loseth life,14,0.823529411764706,7.87705457733966,0.823529411764706,15,4.5898438608156,sn84026925/1879-03-20/ed-1/seq-4/,0
Matthew 16:7 (KJV),"And they reasoned among themselves, saying, It is because we have taken no bread.",http://chroniclingamerica.loc.gov/lccn/sn85053121/1914-09-26/ed-1/seq-2/#words=reasoned+among+themselves+saying+because+we+taken+bread,,possibly,we have taken,1,0.0526315789473684,0.507993696011649,0.0526315789473684,NA,NA,sn85053121/1914-09-26/ed-1/seq-2/,0.983142865976745
Jeremiah 30:24 (KJV),"The fierce anger of the LORD shall not return, until he have done it, and until he have performed the intents of his heart: in the latter days ye shall consider it.",http://chroniclingamerica.loc.gov/lccn/sn84026918/1884-02-08/ed-2/seq-2/#words=fierce+anger+lord+shall+return+until+done+until+performed+intents+heart+latter+days+ye+shall+consider,,no,not return until,1,0.0113636363636364,0.210145798093481,0.0227272727272727,NA,NA,sn84026918/1884-02-08/ed-2/seq-2/,0.991029813009577
Philippians 3:12 (KJV),"Not as though I had already attained, either were already perfect: but I follow after, if that I may apprehend that for which also I am apprehended of Christ Jesus.",http://chroniclingamerica.loc.gov/lccn/sn86053370/1864-06-22/ed-1/seq-4/#words=though+i+had+already+attained+either+were+already+perfect+i+follow+after+i+may+apprehend+also+i+am+apprehended+christ+jesus,,yes,after if may,12,0.235294117647059,2.27103064099326,0.235294117647059,24,8.63747999164459,sn86053370/1864-06-22/ed-1/seq-4/,0
2 Kings 16:19 (KJV),"Now the rest of the acts of Ahaz which he did, are they not written in the book of the chronicles of the kings of Judah?",http://chroniclingamerica.loc.gov/lccn/sn86086633/1912-06-11/ed-1/seq-2/#words=now+rest+acts+ahaz+did+written+book+chronicles+kings+judah,,possibly,which did not,1,0.0714285714285714,0.639909503118671,0.0714285714285714,NA,NA,sn86086633/1912-06-11/ed-1/seq-2/,0.989489076563262
Proverbs 6:7 (KJV),"Which having no guide, overseer, or ruler,",http://chroniclingamerica.loc.gov/lccn/sn82016187/1910-01-13/ed-1/seq-4/#words=having+guide+overseer+ruler,,yes,no guide overseer ruler,9,1,9.65188022422133,1,9,2.93446947694317,sn82016187/1910-01-13/ed-1/seq-4/,0
Luke 7:32 (KJV),"They are like unto children sitting in the marketplace, and calling one to another, and saying, We have piped unto you, and ye have not danced; we have mourned to you, and ye have not wept.",http://chroniclingamerica.loc.gov/lccn/sn85042147/1842-12-07/ed-1/seq-3/#words=like+unto+children+sitting+marketplace+calling+one+another+saying+we+piped+unto+you+ye+danced+we+mourned+you+ye+wept,,yes,unto ye have,19,0.283333333333333,2.92803145343584,0.316666666666667,33,9.59488951275129,sn85042147/1842-12-07/ed-1/seq-3/,0
Matthew 11:21 (KJV),"Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works, which were done in you, had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes.",http://chroniclingamerica.loc.gov/lccn/sn85025620/1883-03-22/ed-1/seq-2/#words=woe+unto+thee+chorazin+woe+unto+thee+bethsaida+mighty+works+were+done+you+had+been+done+tyre+sidon+would+repented+long+ago+sackcloth+ashes,,no,had been done,1,0.0149253731343284,0.133712433487483,0.0149253731343284,NA,NA,sn85025620/1883-03-22/ed-1/seq-2/,0.992606737417749
Matthew 23:30 (KJV),"And say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the prophets.",http://chroniclingamerica.loc.gov/lccn/sn86063381/1918-11-04/ed-1/seq-2/#words=say+we+had+been+days+our+fathers+we+would+been+partakers+blood+prophets,,possibly,would not have been,2,0.0540540540540541,0.51076473892796,0.0540540540540541,3,1.52752523165195,sn86063381/1918-11-04/ed-1/seq-2/,9.34270521499576e-141
John 16:19 (KJV),"Now Jesus knew that they were desirous to ask him, and said unto them, Do ye inquire among yourselves of that I said, A little while, and ye shall not see me: and again, a little while, and ye shall see me?",http://chroniclingamerica.loc.gov/lccn/sn90061066/1892-09-27/ed-1/seq-3/#words=now+jesus+knew+were+desirous+ask+said+unto+ye+inquire+among+yourselves+i+said+little+while+ye+shall+see+me+again+little+while+ye+shall+see+me,,no,ask him said,1,0.0161290322580645,0.155675487487441,0.0161290322580645,NA,NA,sn90061066/1892-09-27/ed-1/seq-3/,0.987605217186874
James 1:5 (KJV),"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",http://chroniclingamerica.loc.gov/lccn/sn89058007/1903-07-10/ed-1/seq-4/#words=any+you+lack+wisdom+let+ask+god+giveth+all+men+liberally+upbraideth+shall+given,,yes,not shall given,96,1,21.9695379647847,2.28571428571429,5925,2279.52470228147,sn89058007/1903-07-10/ed-1/seq-4/,0
Proverbs 27:1 (KJV),Boast not thyself of to morrow; for thou knowest not what a day may bring forth.,http://chroniclingamerica.loc.gov/lccn/sn84036012/1898-05-03/ed-1/seq-6/#words=boast+thyself+morrow+thou+knowest+what+day+may+bring+forth,,possibly,day may bring forth,3,0.130434782608696,1.21117514713026,0.130434782608696,3,1.52752523165195,sn84036012/1898-05-03/ed-1/seq-6/,1.28844620079121e-289
