reference,verse,url,match,likely,most_unusual_phrase,token_count,proportion,tfidf,page
Revelation 20:3 (KJV),"And cast him into the bottomless pit, and shut him up, and set a seal upon him, that he should deceive the nations no more, till the thousand years should be fulfilled: and after that he must be loosed a little season.",http://chroniclingamerica.loc.gov/lccn/sn84020274/1902-03-09/ed-1/seq-48/#words=cast+bottomless+pit+shut+up+set+seal+upon+should+deceive+nations+more+till+thousand+years+should+fulfilled+after+must+loosed+little+season,FALSE,no,that he must be,1,0.01298701299,0.1275627497,sn84020274/1902-03-09/ed-1/seq-48/
Psalm 94:13 (KJV),"That thou mayest give him rest from the days of adversity, until the pit be digged for the wicked.",http://chroniclingamerica.loc.gov/lccn/sn91066782/1916-08-09/ed-1/seq-4/#words=thou+mayest+give+rest+days+adversity+until+pit+digged+wicked,FALSE,no,from the days of,1,0.03225806452,0.2649320585,sn91066782/1916-08-09/ed-1/seq-4/
2 Kings 21:24 (KJV),And the people of the land slew all them that had conspired against king Amon; and the people of the land made Josiah his son king in his stead.,http://chroniclingamerica.loc.gov/lccn/sn84026526/1860-11-02/ed-1/seq-2/#words=people+land+slew+all+had+conspired+against+king+amon+people+land+made+josiah+son+king+stead,FALSE,possibly,and the people of the,4,0.08888888889,0.7069775037,sn84026526/1860-11-02/ed-1/seq-2/
2 Kings 16:14 (KJV),"And he brought also the brasen altar, which was before the LORD, from the forefront of the house, from between the altar and the house of the LORD, and put it on the north side of the altar.",http://chroniclingamerica.loc.gov/lccn/sn89055016/1863-12-19/ed-1/seq-3/#words=brought+also+brasen+altar+before+lord+forefront+house+between+altar+house+lord+put+north+side+altar,FALSE,possibly,the north side of the,5,0.05555555556,0.6706133213,sn89055016/1863-12-19/ed-1/seq-3/
Matthew 22:38 (KJV),This is the first and great commandment.,http://chroniclingamerica.loc.gov/lccn/sn83025294/1903-04-10/ed-1/seq-12/#words=first+great+commandment,FALSE,possibly,this is the first,1,0.1428571429,1.304169221,sn83025294/1903-04-10/ed-1/seq-12/
2 Maccabees 11:13 (KJV),"Who, as he was a man of understanding, casting with himself what loss he had had, and considering that the Hebrews could not be overcome, because the Almighty God helped them, he sent unto them,",http://chroniclingamerica.loc.gov/lccn/sn84024720/1907-07-26/ed-1/seq-1/#words=man+understanding+casting+himself+what+loss+had+had+considering+hebrews+could+overcome+because+almighty+god+helped+sent+unto,FALSE,no,was a man of,1,0.01587301587,0.1303633939,sn84024720/1907-07-26/ed-1/seq-1/
Jeremiah 50:31 (KJV),"Behold, I am against thee, O thou most proud, saith the Lord GOD of hosts: for thy day is come, the time that I will visit thee.",http://chroniclingamerica.loc.gov/lccn/sn86091172/1886-06-12/ed-1/seq-3/#words=behold+i+am+against+thee+o+thou+most+proud+saith+lord+god+hosts+thy+day+come+time+i+visit+thee,FALSE,possibly,the time that i will,3,0.07142857143,0.6396263212,sn86091172/1886-06-12/ed-1/seq-3/
Ecclesiasticus 19:20 (KJV),"The fear of the Lord is all wisdom; and in all wisdom is the performance of the law, and the knowledge of his omnipotency.",http://chroniclingamerica.loc.gov/lccn/sn85033386/1873-05-30/ed-1/seq-2/#words=fear+lord+all+wisdom+all+wisdom+performance+law+knowledge+omnipotency,FALSE,possibly,of the law and the,3,0.08108108108,0.6620157053,sn85033386/1873-05-30/ed-1/seq-2/
Luke 14:11 (KJV),For whosoever exalteth himself shall be abased; and he that humbleth himself shall be exalted.,http://chroniclingamerica.loc.gov/lccn/sn88064181/1914-04-03/ed-1/seq-7/#words=whosoever+exalteth+himself+shall+abased+humbleth+himself+shall+exalted,TRUE,yes,and he that humbleth,9,0.3913043478,3.672352934,sn88064181/1914-04-03/ed-1/seq-7/
Proverbs 16:19 (KJV),"Better it is to be of an humble spirit with the lowly, than to divide the spoil with the proud.",http://chroniclingamerica.loc.gov/lccn/sn84020019/1847-01-29/ed-1/seq-1/#words=better+humble+spirit+lowly+than+divide+spoil+proud,FALSE,no,it is to be,1,0.01515151515,0.2853595945,sn84020019/1847-01-29/ed-1/seq-1/
Luke 12:6 (KJV),"Are not five sparrows sold for two farthings, and not one of them is forgotten before God?",http://chroniclingamerica.loc.gov/lccn/sn94052364/1890-05-10/ed-1/seq-2/#words=five+sparrows+sold+two+farthings+one+forgotten+before+god,FALSE,no,one of them is,1,0.01851851852,0.3381179461,sn94052364/1890-05-10/ed-1/seq-2/
Proverbs 27:12 (KJV),"A prudent man foreseeth the evil, and hideth himself; but the simple pass on, and are punished.",http://chroniclingamerica.loc.gov/lccn/sn87070038/1852-04-15/ed-1/seq-1/#words=prudent+man+foreseeth+evil+hideth+himself+simple+pass+punished,TRUE,yes,on and are punished,19,0.7037037037,6.626683916,sn87070038/1852-04-15/ed-1/seq-1/
Leviticus 14:2 (KJV),This shall be the law of the leper in the day of his cleansing: He shall be brought unto the priest:,http://chroniclingamerica.loc.gov/lccn/sn85038119/1894-06-28/ed-1/seq-2/#words=shall+law+leper+day+cleansing+shall+brought+unto+priest,FALSE,possibly,be the law of the,2,0.06060606061,0.5830060104,sn85038119/1894-06-28/ed-1/seq-2/
Esther 3:7 (KJV),"In the first month, that is, the month Nisan, in the twelfth year of king Ahasuerus, they cast Pur, that is, the lot, before Haman from day to day, and from month to month, to the twelfth month, that is, the month Adar.",http://chroniclingamerica.loc.gov/lccn/sn86063778/1909-02-11/ed-1/seq-1/#words=first+month+month+nisan+twelfth+year+king+ahasuerus+cast+pur+lot+before+haman+day+day+month+month+twelfth+month+month+adar,FALSE,no,from day to day,1,0.006329113924,0.1052943586,sn86063778/1909-02-11/ed-1/seq-1/
Isaiah 1:18 (KJV),"Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.",http://chroniclingamerica.loc.gov/lccn/sn83016957/1842-04-16/ed-1/seq-4/#words=come+now+let+us+reason+together+saith+lord+though+your+sins+scarlet+shall+white+snow+though+red+like+crimson+shall+wool,TRUE,yes,red like crimson they,13,0.2131147541,2.09328381,sn83016957/1842-04-16/ed-1/seq-4/
Proverbs 22:29 (KJV),Seest thou a man diligent in his business? he shall stand before kings; he shall not stand before mean men.,http://chroniclingamerica.loc.gov/lccn/sn87090373/1884-08-29/ed-1/seq-3/#words=seest+thou+man+diligent+business+shall+stand+before+kings+shall+stand+before+mean+men,FALSE,no,in his business he,1,0.0303030303,0.2976464159,sn87090373/1884-08-29/ed-1/seq-3/
2 Esdras 10:40 (KJV),This therefore is the meaning of the vision which thou lately sawest:,http://chroniclingamerica.loc.gov/lccn/sn82015683/1865-08-24/ed-1/seq-4/#words=therefore+meaning+vision+thou+lately+sawest,FALSE,possibly,the meaning of the,1,0.05882352941,0.5370108556,sn82015683/1865-08-24/ed-1/seq-4/
Ecclesiasticus 33:7 (KJV),"Why doth one day excel another, when as all the light of every day in the year is of the sun?",http://chroniclingamerica.loc.gov/lccn/sn83016925/1887-09-28/ed-1/seq-3/#words=why+doth+one+day+excel+another+when+all+light+every+day+year+sun,FALSE,possibly,every day in the year,3,0.07142857143,0.8419141479,sn83016925/1887-09-28/ed-1/seq-3/
1 Peter 2:23 (KJV),"Who, when he was reviled, reviled not again; when he suffered, he threatened not; but committed himself to him that judgeth righteously:",http://chroniclingamerica.loc.gov/lccn/sn89058154/1922-09-29/ed-1/seq-2/#words=when+reviled+reviled+again+when+suffered+threatened+committed+himself+judgeth+righteously,TRUE,yes,threatened not but committed,18,0.4864864865,4.77843165,sn89058154/1922-09-29/ed-1/seq-2/
Exodus 39:19 (KJV),"And they made two rings of gold, and put them on the two ends of the breastplate, upon the border of it, which was on the side of the ephod inward.",http://chroniclingamerica.loc.gov/lccn/sn82006687/1908-09-17/ed-1/seq-1/#words=made+two+rings+gold+put+two+ends+breastplate+upon+border+side+ephod+inward,FALSE,possibly,on the side of the,3,0.05454545455,0.4418583491,sn82006687/1908-09-17/ed-1/seq-1/
Matthew 28:19 (KJV),"Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost:",http://chroniclingamerica.loc.gov/lccn/sn2006060001/1888-06-14/ed-1/seq-3/#words=go+ye+therefore+teach+all+nations+baptizing+name+father+son+holy+ghost,TRUE,yes,therefore and teach all,31,0.8157894737,7.86124443,sn2006060001/1888-06-14/ed-1/seq-3/
Jonah 1:2 (KJV),"Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.",http://chroniclingamerica.loc.gov/lccn/sn85034235/1910-12-29/ed-1/seq-4/#words=arise+go+nineveh+great+city+cry+against+wickedness+come+up+before+me,TRUE,yes,is come up before me,22,0.7096774194,6.899808819,sn85034235/1910-12-29/ed-1/seq-4/
Genesis 34:21 (KJV),"These men are peaceable with us; therefore let them dwell in the land, and trade therein; for the land, behold, it is large enough for them; let us take their daughters to us for wives, and let us give them our daughters.",http://chroniclingamerica.loc.gov/lccn/sn82016419/1880-05-07/ed-1/seq-1/#words=men+peaceable+us+therefore+let+dwell+land+trade+therein+land+behold+large+enough+let+us+take+daughters+us+wives+let+us+give+our+daughters,FALSE,no,in the land and,1,0.006578947368,0.09830205879,sn82016419/1880-05-07/ed-1/seq-1/
Jeremiah 35:11 (KJV),"But it came to pass, when Nebuchadrezzar king of Babylon came up into the land, that we said, Come, and let us go to Jerusalem for fear of the army of the Chaldeans, and for fear of the army of the Syrians: so we dwell at Jerusalem.",http://chroniclingamerica.loc.gov/lccn/sn87078321/1902-04-09/ed-1/seq-6/#words=came+pass+when+nebuchadrezzar+king+babylon+came+up+land+we+said+come+let+us+go+jerusalem+fear+army+chaldeans+fear+army+syrians+so+we+dwell+jerusalem,FALSE,possibly,of the army of the,6,0.07228915663,0.6134858311,sn87078321/1902-04-09/ed-1/seq-6/
Numbers 3:24 (KJV),And the chief of the house of the father of the Gershonites shall be Eliasaph the son of Lael.,http://chroniclingamerica.loc.gov/lccn/sn85038292/1871-08-24/ed-1/seq-1/#words=chief+house+father+gershonites+shall+eliasaph+son+lael,FALSE,possibly,of the father of the,3,0.1111111111,0.9571353424,sn85038292/1871-08-24/ed-1/seq-1/
Matthew 20:26 (KJV),"But it shall not be so among you: but whosoever will be great among you, let him be your minister;",http://chroniclingamerica.loc.gov/lccn/sn84027621/1902-05-19/ed-1/seq-1/#words=shall+so+among+you+whosoever+great+among+you+let+your+minister,TRUE,yes,you let him be your,11,0.25,3.163068143,sn84027621/1902-05-19/ed-1/seq-1/
Revelation 9:16 (KJV),And the number of the army of the horsemen were two hundred thousand thousand: and I heard the number of them.,http://chroniclingamerica.loc.gov/lccn/sn85053323/1899-09-02/ed-1/seq-2/#words=number+army+horsemen+were+two+hundred+thousand+thousand+i+heard+number,FALSE,possibly,and the number of the,2,0.05882352941,0.4882394416,sn85053323/1899-09-02/ed-1/seq-2/
Jeremiah 44:17 (KJV),"But we will certainly do whatsoever thing goeth forth out of our own mouth, to burn incense unto the queen of heaven, and to pour out drink offerings unto her, as we have done, we, and our fathers, our kings, and our princes, in the cities of Judah, and in the streets of Jerusalem: for then had we plenty of victuals, and were well, and saw no evil.",http://chroniclingamerica.loc.gov/lccn/sn84026925/1890-04-23/ed-1/seq-4/#words=we+certainly+whatsoever+thing+goeth+forth+out+our+own+mouth+burn+incense+unto+queen+heaven+pour+out+drink+offerings+unto+we+done+we+our+fathers+our+kings+our+princes+cities+judah+streets+jerusalem+had+we+plenty+victuals+were+well+saw+evil,FALSE,no,in the streets of,1,0.008,0.06194312147,sn84026925/1890-04-23/ed-1/seq-4/
1 Esdras 1:26 (KJV),"But the king of Egypt sent to him, saying, What have I to do with thee, O king of Judea?",http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-4/#words=king+egypt+sent+saying+what+i+thee+o+king+judea,FALSE,yes,what have i to do,7,0.21875,1.783472669,sn86069867/1899-12-10/ed-1/seq-4/
1 Corinthians 15:5 (KJV),"And that he was seen of Cephas, then of the twelve:",http://chroniclingamerica.loc.gov/lccn/sn86088572/1913-03-13/ed-1/seq-3/#words=seen+cephas+twelve,FALSE,possibly,and that he was,1,0.06666666667,0.5713045838,sn86088572/1913-03-13/ed-1/seq-3/
Wisdom of Solomon 16:15 (KJV),But it is not possible to escape thine hand.,http://chroniclingamerica.loc.gov/lccn/sn82016413/1905-07-27/ed-1/seq-4/#words=possible+escape+thine+hand,FALSE,yes,is not possible to,3,0.2727272727,2.615804363,sn82016413/1905-07-27/ed-1/seq-4/
Matthew 16:26 (KJV),"For what is a man profited, if he shall gain the whole world, and lose his own soul? or what shall a man give in exchange for his soul?",http://chroniclingamerica.loc.gov/lccn/sn86053569/1838-11-24/ed-1/seq-1/#words=what+man+profited+shall+gain+whole+world+lose+own+soul+what+shall+man+give+exchange+soul,TRUE,yes,whole world and lose his,11,0.2156862745,1.994934457,sn86053569/1838-11-24/ed-1/seq-1/
Joshua 2:7 (KJV),"And the men pursued after them the way to Jordan unto the fords: and as soon as they which pursued after them were gone out, they shut the gate.",http://chroniclingamerica.loc.gov/lccn/sn85025620/1900-02-16/ed-1/seq-3/#words=men+pursued+after+way+jordan+unto+fords+soon+pursued+after+were+gone+out+shut+gate,FALSE,no,and as soon as,1,0.01960784314,0.1464893425,sn85025620/1900-02-16/ed-1/seq-3/
Matthew 12:17 (KJV),"That it might be fulfilled which was spoken by Esaias the prophet, saying,",http://chroniclingamerica.loc.gov/lccn/sn86063615/1899-09-26/ed-1/seq-4/#words=might+fulfilled+spoken+esaias+prophet+saying,FALSE,possibly,that it might be,1,0.05263157895,0.4013214289,sn86063615/1899-09-26/ed-1/seq-4/
Genesis 37:15 (KJV),"And a certain man found him, and, behold, he was wandering in the field: and the man asked him, saying, What seekest thou?",http://chroniclingamerica.loc.gov/lccn/sn90061052/1921-08-11/ed-1/seq-2/#words=certain+man+found+behold+wandering+field+man+asked+saying+what+seekest+thou,FALSE,no,was wandering in the,1,0.02631578947,0.2584824138,sn90061052/1921-08-11/ed-1/seq-2/
Psalm 40:1 (KJV),"I waited patiently for the LORD; and he inclined unto me, and heard my cry.",http://chroniclingamerica.loc.gov/lccn/sn90061052/1922-01-19/ed-1/seq-9/#words=i+waited+patiently+lord+inclined+unto+me+heard+my+cry,TRUE,yes,inclined unto me and,8,0.3636363636,3.571756991,sn90061052/1922-01-19/ed-1/seq-9/
Daniel 12:5 (KJV),"Then I Daniel looked, and, behold, there stood other two, the one on this side of the bank of the river, and the other on that side of the bank of the river.",http://chroniclingamerica.loc.gov/lccn/sn84036228/1903-03-18/ed-1/seq-4/#words=i+daniel+looked+behold+stood+other+two+one+side+bank+river+other+side+bank+river,FALSE,possibly,on this side of the,3,0.05084745763,0.473947759,sn84036228/1903-03-18/ed-1/seq-4/
Job 39:24 (KJV),He swalloweth the ground with fierceness and rage: neither believeth he that it is the sound of the trumpet.,http://chroniclingamerica.loc.gov/lccn/sn84026688/1898-10-27/ed-1/seq-1/#words=swalloweth+ground+fierceness+rage+neither+believeth+sound+trumpet,TRUE,yes,is the sound of the,15,0.5,4.741993402,sn84026688/1898-10-27/ed-1/seq-1/
Matthew 20:28 (KJV),"Even as the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.",http://chroniclingamerica.loc.gov/lccn/sn84026788/1891-11-24/ed-1/seq-1/#words=even+son+man+came+ministered+unto+minister+give+life+ransom+many,TRUE,yes,ministered unto but to minister,11,0.275,2.58963832,sn84026788/1891-11-24/ed-1/seq-1/
Habakkuk 3:2 (KJV),"O LORD, I have heard thy speech, and was afraid: O LORD, revive thy work in the midst of the years, in the midst of the years make known; in wrath remember mercy.",http://chroniclingamerica.loc.gov/lccn/sn92065637/1896-02-19/ed-1/seq-5/#words=o+lord+i+heard+thy+speech+afraid+o+lord+revive+thy+work+midst+years+midst+years+make+known+wrath+remember+mercy,TRUE,yes,make known in wrath remember,28,0.5283018868,5.189156383,sn92065637/1896-02-19/ed-1/seq-5/
Ecclesiastes 1:4 (KJV),"One generation passeth away, and another generation cometh: but the earth abideth for ever.",http://chroniclingamerica.loc.gov/lccn/sn94060041/1894-05-12/ed-1/seq-1/#words=one+generation+passeth+away+another+generation+cometh+earth+abideth+ever,TRUE,yes,passeth away and another,29,0.4285714286,13.56417238,sn94060041/1894-05-12/ed-1/seq-1/
Daniel 5:28 (KJV),"PERES; Thy kingdom is divided, and given to the Medes and Persians.",http://chroniclingamerica.loc.gov/lccn/sn84024779/1886-09-02/ed-1/seq-4/#words=peres+thy+kingdom+divided+given+medes+persians,FALSE,possibly,and given to the,1,0.05882352941,0.5131599669,sn84024779/1886-09-02/ed-1/seq-4/
Ephesians 5:23 (KJV),"For the husband is the head of the wife, even as Christ is the head of the church: and he is the saviour of the body.",http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-4/#words=husband+head+wife+even+christ+head+church+saviour+body,TRUE,yes,is the head of the,21,0.3953488372,4.678636509,sn86069867/1899-12-10/ed-1/seq-4/
Genesis 6:21 (KJV),"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.",http://chroniclingamerica.loc.gov/lccn/sn85038121/1862-04-03/ed-1/seq-1/#words=take+thou+unto+thee+all+food+eaten+thou+shalt+gather+thee+shall+food+thee,FALSE,no,it shall be for,2,0.04,0.3281197,sn85038121/1862-04-03/ed-1/seq-1/
