reference,url,match
Job 1:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83025313/1913-11-28/ed-1/seq-2/#words=lord+said+unto+satan+whence+comest+thou+satan+answered+lord+said+going+fro+earth+walking+up+down,FALSE
Matthew 14:4 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82014593/1852-02-09/ed-1/seq-2/#words=john+said+unto+lawful+thee,TRUE
Genesis 37:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn92065637/1896-06-24/ed-1/seq-4/#words=passed+midianites+merchantmen+drew+lifted+up+joseph+out+pit+sold+joseph+ishmeelites+twenty+pieces+silver+brought+joseph+egypt,TRUE
2 Esdras 12:48 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85034311/1875-07-16/ed-1/seq-4/#words=me+i+forsaken+you+neither+am+i+departed+you+am+come+place+pray+desolation+sion+i+might+seek+mercy+low+estate+your+sanctuary,FALSE
Proverbs 8:3 (KJV),http://chroniclingamerica.loc.gov/lccn/sn93067846/1894-03-21/ed-1/seq-5/#words=crieth+gates+entry+city+coming+doors,FALSE
Genesis 19:14 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89058128/1899-12-07/ed-1/seq-4/#words=lot+went+out+spake+unto+sons+law+married+daughters+said+up+get+you+out+place+lord+destroy+city+seemed+one+mocked+unto+sons+law,FALSE
Matthew 24:40 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85033781/1876-07-21/ed-1/seq-3/#words=shall+two+field+one+shall+taken+other+left,TRUE
Revelation 20:3 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84020274/1902-03-09/ed-1/seq-48/#words=cast+bottomless+pit+shut+up+set+seal+upon+should+deceive+nations+more+till+thousand+years+should+fulfilled+after+must+loosed+little+season,FALSE
Psalm 94:13 (KJV),http://chroniclingamerica.loc.gov/lccn/sn91066782/1916-08-09/ed-1/seq-4/#words=thou+mayest+give+rest+days+adversity+until+pit+digged+wicked,FALSE
2 Kings 21:24 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026526/1860-11-02/ed-1/seq-2/#words=people+land+slew+all+had+conspired+against+king+amon+people+land+made+josiah+son+king+stead,FALSE
2 Kings 16:14 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89055016/1863-12-19/ed-1/seq-3/#words=brought+also+brasen+altar+before+lord+forefront+house+between+altar+house+lord+put+north+side+altar,FALSE
Matthew 22:38 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83025294/1903-04-10/ed-1/seq-12/#words=first+great+commandment,FALSE
2 Maccabees 11:13 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84024720/1907-07-26/ed-1/seq-1/#words=man+understanding+casting+himself+what+loss+had+had+considering+hebrews+could+overcome+because+almighty+god+helped+sent+unto,FALSE
Jeremiah 50:31 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86091172/1886-06-12/ed-1/seq-3/#words=behold+i+am+against+thee+o+thou+most+proud+saith+lord+god+hosts+thy+day+come+time+i+visit+thee,FALSE
Ecclesiasticus 19:20 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85033386/1873-05-30/ed-1/seq-2/#words=fear+lord+all+wisdom+all+wisdom+performance+law+knowledge+omnipotency,FALSE
Luke 14:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064181/1914-04-03/ed-1/seq-7/#words=whosoever+exalteth+himself+shall+abased+humbleth+himself+shall+exalted,TRUE
Proverbs 16:19 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84020019/1847-01-29/ed-1/seq-1/#words=better+humble+spirit+lowly+than+divide+spoil+proud,FALSE
Luke 12:6 (KJV),http://chroniclingamerica.loc.gov/lccn/sn94052364/1890-05-10/ed-1/seq-2/#words=five+sparrows+sold+two+farthings+one+forgotten+before+god,FALSE
Proverbs 27:12 (KJV),http://chroniclingamerica.loc.gov/lccn/sn87070038/1852-04-15/ed-1/seq-1/#words=prudent+man+foreseeth+evil+hideth+himself+simple+pass+punished,TRUE
Leviticus 14:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85038119/1894-06-28/ed-1/seq-2/#words=shall+law+leper+day+cleansing+shall+brought+unto+priest,FALSE
Esther 3:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86063778/1909-02-11/ed-1/seq-1/#words=first+month+month+nisan+twelfth+year+king+ahasuerus+cast+pur+lot+before+haman+day+day+month+month+twelfth+month+month+adar,FALSE
Isaiah 1:18 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016957/1842-04-16/ed-1/seq-4/#words=come+now+let+us+reason+together+saith+lord+though+your+sins+scarlet+shall+white+snow+though+red+like+crimson+shall+wool,TRUE
Proverbs 22:29 (KJV),http://chroniclingamerica.loc.gov/lccn/sn87090373/1884-08-29/ed-1/seq-3/#words=seest+thou+man+diligent+business+shall+stand+before+kings+shall+stand+before+mean+men,FALSE
2 Esdras 10:40 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82015683/1865-08-24/ed-1/seq-4/#words=therefore+meaning+vision+thou+lately+sawest,FALSE
Ecclesiasticus 33:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016925/1887-09-28/ed-1/seq-3/#words=why+doth+one+day+excel+another+when+all+light+every+day+year+sun,FALSE
1 Peter 2:23 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89058154/1922-09-29/ed-1/seq-2/#words=when+reviled+reviled+again+when+suffered+threatened+committed+himself+judgeth+righteously,TRUE
Exodus 39:19 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82006687/1908-09-17/ed-1/seq-1/#words=made+two+rings+gold+put+two+ends+breastplate+upon+border+side+ephod+inward,FALSE
Matthew 28:19 (KJV),http://chroniclingamerica.loc.gov/lccn/sn2006060001/1888-06-14/ed-1/seq-3/#words=go+ye+therefore+teach+all+nations+baptizing+name+father+son+holy+ghost,TRUE
Jonah 1:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85034235/1910-12-29/ed-1/seq-4/#words=arise+go+nineveh+great+city+cry+against+wickedness+come+up+before+me,TRUE
Genesis 34:21 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82016419/1880-05-07/ed-1/seq-1/#words=men+peaceable+us+therefore+let+dwell+land+trade+therein+land+behold+large+enough+let+us+take+daughters+us+wives+let+us+give+our+daughters,FALSE
Jeremiah 35:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn87078321/1902-04-09/ed-1/seq-6/#words=came+pass+when+nebuchadrezzar+king+babylon+came+up+land+we+said+come+let+us+go+jerusalem+fear+army+chaldeans+fear+army+syrians+so+we+dwell+jerusalem,FALSE
Numbers 3:24 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85038292/1871-08-24/ed-1/seq-1/#words=chief+house+father+gershonites+shall+eliasaph+son+lael,FALSE
Matthew 20:26 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84027621/1902-05-19/ed-1/seq-1/#words=shall+so+among+you+whosoever+great+among+you+let+your+minister,TRUE
Revelation 9:16 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85053323/1899-09-02/ed-1/seq-2/#words=number+army+horsemen+were+two+hundred+thousand+thousand+i+heard+number,FALSE
Jeremiah 44:17 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026925/1890-04-23/ed-1/seq-4/#words=we+certainly+whatsoever+thing+goeth+forth+out+our+own+mouth+burn+incense+unto+queen+heaven+pour+out+drink+offerings+unto+we+done+we+our+fathers+our+kings+our+princes+cities+judah+streets+jerusalem+had+we+plenty+victuals+were+well+saw+evil,FALSE
1 Esdras 1:26 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-4/#words=king+egypt+sent+saying+what+i+thee+o+king+judea,FALSE
1 Corinthians 15:5 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86088572/1913-03-13/ed-1/seq-3/#words=seen+cephas+twelve,FALSE
Wisdom of Solomon 16:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82016413/1905-07-27/ed-1/seq-4/#words=possible+escape+thine+hand,FALSE
Matthew 16:26 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86053569/1838-11-24/ed-1/seq-1/#words=what+man+profited+shall+gain+whole+world+lose+own+soul+what+shall+man+give+exchange+soul,TRUE
Joshua 2:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85025620/1900-02-16/ed-1/seq-3/#words=men+pursued+after+way+jordan+unto+fords+soon+pursued+after+were+gone+out+shut+gate,FALSE
Matthew 12:17 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86063615/1899-09-26/ed-1/seq-4/#words=might+fulfilled+spoken+esaias+prophet+saying,FALSE
Genesis 37:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn90061052/1921-08-11/ed-1/seq-2/#words=certain+man+found+behold+wandering+field+man+asked+saying+what+seekest+thou,FALSE
Psalm 40:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn90061052/1922-01-19/ed-1/seq-9/#words=i+waited+patiently+lord+inclined+unto+me+heard+my+cry,TRUE
Daniel 12:5 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84036228/1903-03-18/ed-1/seq-4/#words=i+daniel+looked+behold+stood+other+two+one+side+bank+river+other+side+bank+river,FALSE
Job 39:24 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026688/1898-10-27/ed-1/seq-1/#words=swalloweth+ground+fierceness+rage+neither+believeth+sound+trumpet,TRUE
Matthew 20:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026788/1891-11-24/ed-1/seq-1/#words=even+son+man+came+ministered+unto+minister+give+life+ransom+many,TRUE
Habakkuk 3:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn92065637/1896-02-19/ed-1/seq-5/#words=o+lord+i+heard+thy+speech+afraid+o+lord+revive+thy+work+midst+years+midst+years+make+known+wrath+remember+mercy,TRUE
Ecclesiastes 1:4 (KJV),http://chroniclingamerica.loc.gov/lccn/sn94060041/1894-05-12/ed-1/seq-1/#words=one+generation+passeth+away+another+generation+cometh+earth+abideth+ever,TRUE
Daniel 5:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84024779/1886-09-02/ed-1/seq-4/#words=peres+thy+kingdom+divided+given+medes+persians,FALSE
Ephesians 5:23 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-4/#words=husband+head+wife+even+christ+head+church+saviour+body,TRUE
Genesis 6:21 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85038121/1862-04-03/ed-1/seq-1/#words=take+thou+unto+thee+all+food+eaten+thou+shalt+gather+thee+shall+food+thee,FALSE
Ezra 6:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83045784/1864-06-09/ed-1/seq-1/#words=let+work+house+god+alone+let+governor+jews+elders+jews+build+house+god+place,FALSE
1 Kings 19:13 (KJV),http://chroniclingamerica.loc.gov/lccn/2010218519/1914-03-28/ed-1/seq-1/#words=so+when+elijah+heard+wrapped+face+mantle+went+out+stood+entering+cave+behold+came+voice+unto+said+what+doest+thou+here+elijah,TRUE
2 Kings 3:20 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85034357/1917-06-01/ed-1/seq-1/#words=came+pass+morning+when+meat+offering+offered+behold+came+water+way+edom+country+filled+water,FALSE
Psalm 113:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83040340/1880-02-06/ed-1/seq-4/#words=blessed+name+lord+time+forth+evermore,FALSE
Psalm 107:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86061215/1912-11-30/ed-1/seq-8/#words=o+give+thanks+unto+lord+good+mercy+endureth+ever,TRUE
Luke 11:6 (KJV),http://chroniclingamerica.loc.gov/lccn/sn98069867/1919-07-23/ed-1/seq-1/#words=friend+mine+journey+come+me+i+nothing+set+before,FALSE
Luke 7:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026909/1884-03-13/ed-1/seq-3/#words=came+pass+day+after+went+city+called+nain+many+disciples+went+much+people,FALSE
1 Corinthians 1:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn95069778/1897-12-30/ed-1/seq-2/#words=base+things+world+things+despised+hath+god+chosen+yea+things+bring+nought+things,FALSE
1 Corinthians 10:24 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83040052/1898-03-04/ed-1/seq-4/#words=let+man+seek+own+every+man+another's+wealth,TRUE
Mark 10:45 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026788/1891-11-24/ed-1/seq-1/#words=even+son+man+came+ministered+unto+minister+give+life+ransom+many,TRUE
Proverbs 18:21 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82007023/1878-04-20/ed-1/seq-1/#words=death+life+power+tongue+love+shall+eat+fruit+thereof,FALSE
Daniel 4:35 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84036276/1898-04-30/ed-1/seq-3/#words=all+inhabitants+earth+reputed+nothing+doeth+according+army+heaven+among+inhabitants+earth+none+can+stay+hand+say+unto+what+doest+thou,FALSE
Jeremiah 37:12 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064249/1919-11-08/ed-1/seq-18/#words=jeremiah+went+forth+out+jerusalem+go+land+benjamin+separate+himself+thence+midst+people,FALSE
Judges 8:32 (KJV),http://chroniclingamerica.loc.gov/lccn/sn90061663/1903-08-20/ed-1/seq-2/#words=gideon+son+joash+died+good+old+age+buried+sepulchre+joash+father+ophrah+abi+ezrites,FALSE
1 Maccabees 14:39 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83030313/1846-01-04/ed-1/seq-3/#words=made+one+friends+honoured+great+honour,FALSE
1 Samuel 9:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89058154/1922-06-02/ed-1/seq-3/#words=had+son+whose+name+saul+choice+young+man+goodly+among+children+israel+goodlier+person+than+shoulders+upward+higher+than+any+people,TRUE
Joshua 21:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83035312/1844-06-25/ed-1/seq-2/#words=came+near+heads+fathers+levites+unto+eleazar+priest+unto+joshua+son+nun+unto+heads+fathers+tribes+children+israel,FALSE
2 Samuel 18:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86076142/1907-10-13/ed-1/seq-4/#words=joab+said+unto+man+told+behold+thou+sawest+why+didst+thou+smite+ground+i+would+given+thee+ten+shekels+silver+girdle,FALSE
Job 9:8 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85025620/1900-09-28/ed-1/seq-4/#words=alone+spreadeth+out+heavens+treadeth+upon+waves+sea,FALSE
Exodus 16:29 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86088296/1890-12-04/ed-1/seq-7/#words=see+lord+hath+given+you+sabbath+therefore+giveth+you+sixth+day+bread+two+days+abide+ye+every+man+place+let+man+go+out+place+seventh+day,FALSE
2 Esdras 13:22 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026749/1920-08-06/ed-1/seq-1/#words=whereas+thou+hast+spoken+left+behind+interpretation,FALSE
Exodus 2:4 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84028385/1866-02-14/ed-1/seq-1/#words=sister+stood+afar+off+wit+what+would+done,FALSE
Ezekiel 38:18 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86061215/1912-12-12/ed-1/seq-3/#words=shall+come+pass+same+time+when+gog+shall+come+against+land+israel+saith+lord+god+my+fury+shall+come+up+my+face,FALSE
1 Samuel 17:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84024716/1908-08-05/ed-1/seq-4/#words=when+saul+all+israel+heard+those+words+philistine+were+dismayed+greatly+afraid,TRUE
Leviticus 4:25 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85025620/1883-07-26/ed-1/seq-1/#words=priest+shall+take+blood+sin+offering+finger+put+upon+horns+altar+burnt+offering+shall+pour+out+blood+bottom+altar+burnt+offering,FALSE
Acts 19:20 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83045433/1918-02-01/ed-1/seq-8/#words=so+mightily+grew+word+god+prevailed,FALSE
Revelation 3:16 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83021327/1877-04-19/ed-1/seq-1/#words=so+because+thou+art+lukewarm+neither+cold+nor+hot+i+spue+thee+out+my+mouth,TRUE
Luke 13:10 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064384/1903-01-24/ed-1/seq-1/#words=teaching+one+synagogues+sabbath,FALSE
John 6:25 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84020104/1853-10-27/ed-1/seq-3/#words=when+had+found+other+side+sea+said+unto+rabbi+when+camest+thou+hither,FALSE
Wisdom of Solomon 10:6 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85038102/1912-11-29/ed-1/seq-4/#words=when+ungodly+perished+delivered+righteous+man+fled+fire+fell+down+upon+five+cities,FALSE
1 Timothy 6:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83030214/1906-06-25/ed-1/seq-5/#words=let+many+servants+under+yoke+count+own+masters+worthy+all+honour+name+god+doctrine+blasphemed,FALSE
1 Esdras 4:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89081128/1894-04-25/ed-1/seq-3/#words=second+had+spoken+strength+king+began+say,FALSE
1 Samuel 9:27 (KJV),http://chroniclingamerica.loc.gov/lccn/sn91066782/1903-07-11/ed-1/seq-1/#words=were+going+down+end+city+samuel+said+saul+bid+servant+pass+before+us+passed+stand+thou+still+while+i+may+shew+thee+word+god,FALSE
Hebrews 6:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88085187/1915-10-28/ed-1/seq-5/#words=therefore+leaving+principles+doctrine+christ+let+us+go+unto+perfection+laying+again+foundation+repentance+dead+works+faith+toward+god,TRUE
Psalm 141:3 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85034235/1883-04-12/ed-1/seq-4/#words=set+watch+o+lord+before+my+mouth+keep+door+my+lips,TRUE
1 Chronicles 9:30 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84022355/1843-03-21/ed-1/seq-1/#words=some+sons+priests+made+ointment+spices,FALSE
Luke 17:35 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85033781/1876-07-21/ed-1/seq-3/#words=two+women+shall+grinding+together+one+shall+taken+other+left,TRUE
Job 32:8 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026409/1892-10-05/ed-1/seq-4/#words=spirit+man+inspiration+almighty+giveth+understanding,TRUE
1 Samuel 19:18 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85025620/1888-09-27/ed-1/seq-3/#words=so+david+fled+escaped+came+samuel+ramah+told+all+saul+had+done+samuel+went+dwelt+naioth,FALSE
Exodus 28:20 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064176/1900-07-21/ed-1/seq-3/#words=fourth+row+beryl+onyx+jasper+shall+set+gold+inclosings,TRUE
Proverbs 23:32 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-06-02/ed-1/seq-1/#words=last+biteth+like+serpent+stingeth+like+adder,TRUE
Acts 13:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86069643/1912-11-21/ed-1/seq-2/#words=after+reading+law+prophets+rulers+synagogue+sent+unto+saying+ye+men+brethren+ye+any+word+exhortation+people+say,FALSE
Ephesians 5:12 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83035174/1869-05-12/ed-1/seq-1/#words=shame+even+speak+those+things+done+secret,TRUE
1 Samuel 17:24 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85032801/1893-07-07/ed-1/seq-3/#words=all+men+israel+when+saw+man+fled+were+sore+afraid,FALSE
2 Samuel 19:25 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064402/1905-12-29/ed-1/seq-2/#words=came+pass+when+come+jerusalem+meet+king+king+said+unto+wherefore+wentest+thou+me+mephibosheth,FALSE
Genesis 24:11 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86061215/1912-04-06/ed-1/seq-6/#words=made+camels+kneel+down+without+city+well+water+time+evening+even+time+women+go+out+draw+water,FALSE
Ecclesiasticus 27:29 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85033549/1884-03-19/ed-1/seq-2/#words=rejoice+fall+righteous+shall+taken+snare+anguish+shall+consume+before+die,FALSE
Judges 12:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82015015/1842-04-09/ed-1/seq-4/#words=jephthah+judged+israel+six+years+died+jephthah+gileadite+buried+one+cities+gilead,FALSE
Matthew 17:5 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85038078/1846-11-12/ed-1/seq-1/#words=while+yet+spake+behold+bright+cloud+overshadowed+behold+voice+out+cloud+said+my+beloved+son+whom+i+am+well+pleased+hear+ye,TRUE
Matthew 10:42 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86063381/1918-06-01/ed-1/seq-3/#words=whosoever+shall+give+drink+unto+one+little+ones+cup+cold+water+only+name+disciple+verily+i+say+unto+you+shall+wise+lose+reward,FALSE
Joshua 13:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84024558/1867-04-25/ed-1/seq-3/#words=land+yet+remaineth+all+borders+philistines+all+geshuri,FALSE
Ephesians 1:19 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-12-01/ed-1/seq-1/#words=what+exceeding+greatness+power+usward+believe+according+working+mighty+power,FALSE
1 Thessalonians 5:21 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84028820/1856-12-11/ed-1/seq-1/#words=prove+all+things+hold+fast+good,TRUE
Mark 16:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88064175/1877-08-04/ed-1/seq-1/#words=said+unto+go+ye+all+world+preach+gospel+every+creature,TRUE
Revelation 3:20 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86063623/1901-06-08/ed-1/seq-1/#words=behold+i+stand+door+knock+any+man+hear+my+voice+open+door+i+come+sup+me,FALSE
Jeremiah 42:13 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86058890/1848-01-11/ed-1/seq-2/#words=ye+say+we+dwell+land+neither+obey+voice+lord+your+god,FALSE
Mark 10:14 (KJV),http://chroniclingamerica.loc.gov/lccn/sn89058336/1915-06-25/ed-1/seq-4/#words=when+jesus+saw+much+displeased+said+unto+suffer+little+children+come+unto+me+forbid+kingdom+god,TRUE
Romans 11:12 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86069161/1890-11-26/ed-1/seq-3/#words=now+fall+riches+world+diminishing+riches+gentiles+how+much+more+fulness,FALSE
1 Maccabees 9:8 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86071197/1894-03-11/ed-1/seq-4/#words=nevertheless+unto+remained+said+let+us+arise+go+up+against+our+enemies+peradventure+we+may+able+fight,FALSE
Job 40:9 (KJV),http://chroniclingamerica.loc.gov/lccn/sn97067589/1910-02-04/ed-1/seq-6/#words=hast+thou+arm+like+god+canst+thou+thunder+voice+like,FALSE
1 John 3:14 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016475/1840-11-23/ed-1/seq-2/#words=we+know+we+passed+death+unto+life+because+we+love+brethren+loveth+brother+abideth+death,FALSE
Mark 5:6 (KJV),http://chroniclingamerica.loc.gov/lccn/sn97067613/1889-02-07/ed-1/seq-4/#words=when+saw+jesus+afar+off+ran+worshipped,TRUE
"Esther, Greek 8:5 (KJV)",http://chroniclingamerica.loc.gov/lccn/sn83016475/1840-05-15/ed-1/seq-2/#words=every+province+every+city+whithersoever+king's+commandment+decree+came+jews+had+joy+gladness+feast+good+day+many+people+land+became+jews+fear+jews+fell+upon,FALSE
